x,y,z
1.00000e+00,8.87107e+04,6.32632e-04
1.00000e+01,1.84572e+04,1.32860e-02
1.00000e+02,8.65666e+03,9.10975e-04
1.00000e+03,3.90262e+01,6.92261e-06
1.00000e+04,9.17753e+01,3.69946e-09
1.00000e+05,9.91481e+01,2.37859e-09
1.00000e+06,9.98907e+01,9.92642e-11
1.00000e+07,9.99652e+01,4.69940e-12
1.00000e+08,9.99727e+01,1.82947e-11
