x,y,z
1.00000e+00,4.94666e+01,1.01835e-02
1.00000e+01,6.95843e+03,3.39379e-04
1.00000e+02,4.29018e+02,2.92587e-06
1.00000e+03,6.02926e+01,7.02957e-10
1.00000e+04,3.37212e+01,2.47289e-12
1.00000e+05,3.15814e+01,5.03725e-13
1.00000e+06,3.13725e+01,1.79113e-12
1.00000e+07,3.13516e+01,6.33752e-12
1.00000e+08,3.13496e+01,7.00762e-13
