x,y,z
1.00000e+00,8.61343e+04,6.14243e+00
1.00000e+01,3.48000e+03,1.95229e+01
1.00000e+02,8.26852e+01,3.70039e-01
1.00000e+03,1.81569e+01,8.20821e-05
1.00000e+04,3.38282e+01,8.14068e-09
1.00000e+05,3.58371e+01,5.49512e-12
1.00000e+06,3.60424e+01,3.18257e-12
1.00000e+07,3.60629e+01,1.93565e-13
1.00000e+08,3.60650e+01,2.88147e-12
