x,y,z
1.00000e+00,4.94902e+01,4.41513e-06
1.00000e+01,1.49408e+04,1.45761e-07
1.00000e+02,1.68496e+03,1.72896e-09
1.00000e+03,5.12735e+01,2.87279e-11
1.00000e+04,8.23288e+01,5.90515e-10
1.00000e+05,9.80969e+01,1.25325e-09
1.00000e+06,9.96939e+01,1.97981e-11
1.00000e+07,9.98546e+01,6.93034e-12
1.00000e+08,9.98706e+01,3.58930e-12
